app_config_id,deadline,delta_t,e_fail,e_fail_multiplier,lambda,num_nodes,repetition_id,restart_overhead,dynamic__off__off,dynamic__independent__off,random__off__off,random__independent__off,static_foresighted_expected_error__off__off,static_foresighted_expected_error__independent__off,static_foresighted_error_level__off__off,static_foresighted_error_level__independent__off,static_foresighted_probability_success__off__off,static_foresighted_probability_success__independent__off,static_foresighted_success_error_ratio__off__off,static_foresighted_success_error_ratio__independent__off,static_nearsighted_expected_error__off__off,static_nearsighted_expected_error__independent__off,static_nearsighted_error_level__off__off,static_nearsighted_error_level__independent__off,static_nearsighted_probability_success__off__off,static_nearsighted_probability_success__independent__off,static_nearsighted_success_error_ratio__off__off,static_nearsighted_success_error_ratio__independent__off,num_tasks,num_options_per_task,p_fastest_single,p_slowest_single,max_error,min_error
3,10000.0,5.0,1549.0258,5.0,0.001,1,6,0.0,34.3185,34.3185,81.3963,1549.03,34.3185,34.3185,34.3185,34.3185,104.935,104.935,34.3185,34.3185,34.3185,34.3185,34.3185,34.3185,182.925,182.925,34.3185,34.3185,3,"[4, 2, 4]",0.3395904066374725,0.0589252039941283,309.80515274873693,34.31845310286323
3,10000.0,5.0,619.6103,2.0,0.001,1,7,0.0,34.3185,34.3185,100.858,34.3185,34.3185,34.3185,34.3185,34.3185,104.935,104.935,34.3185,34.3185,34.3185,34.3185,34.3185,34.3185,182.925,182.925,34.3185,34.3185,3,"[4, 2, 4]",0.3395904066374725,0.0589252039941283,309.80515274873693,34.31845310286323
3,10000.0,5.0,1549.0258,5.0,0.001,1,7,0.0,34.3185,34.3185,141.892,58.1223,34.3185,34.3185,34.3185,34.3185,104.935,104.935,34.3185,34.3185,34.3185,34.3185,34.3185,34.3185,182.925,182.925,34.3185,34.3185,3,"[4, 2, 4]",0.3395904066374725,0.0589252039941283,309.80515274873693,34.31845310286323
3,10000.0,5.0,619.6103,2.0,0.001,1,8,0.0,34.3185,34.3185,177.72,122.264,34.3185,34.3185,34.3185,34.3185,104.935,104.935,34.3185,34.3185,34.3185,34.3185,34.3185,34.3185,182.925,182.925,34.3185,34.3185,3,"[4, 2, 4]",0.3395904066374725,0.0589252039941283,309.80515274873693,34.31845310286323
3,10000.0,5.0,1549.0258,5.0,0.001,1,8,0.0,34.3185,34.3185,172.006,141.892,34.3185,34.3185,34.3185,34.3185,104.935,104.935,34.3185,34.3185,34.3185,34.3185,34.3185,34.3185,182.925,182.925,34.3185,34.3185,3,"[4, 2, 4]",0.3395904066374725,0.0589252039941283,309.80515274873693,34.31845310286323
3,10000.0,5.0,619.6103,2.0,0.001,1,9,0.0,34.3185,34.3185,130.932,121.727,34.3185,34.3185,34.3185,34.3185,104.935,104.935,34.3185,34.3185,34.3185,34.3185,34.3185,34.3185,182.925,182.925,34.3185,34.3185,3,"[4, 2, 4]",0.3395904066374725,0.0589252039941283,309.80515274873693,34.31845310286323
3,10000.0,5.0,1549.0258,5.0,0.001,1,9,0.0,34.3185,34.3185,182.925,81.3963,34.3185,34.3185,34.3185,34.3185,104.935,104.935,34.3185,34.3185,34.3185,34.3185,34.3185,34.3185,182.925,182.925,34.3185,34.3185,3,"[4, 2, 4]",0.3395904066374725,0.0589252039941283,309.80515274873693,34.31845310286323
4,10000.0,5.0,620.0674,2.0,0.001,1,0,0.0,49.8856,49.8856,100.879,75.3824,54.1978,54.1978,620.067,620.067,100.879,100.879,620.067,620.067,40.4995,40.4995,620.067,620.067,100.879,100.879,620.067,620.067,3,"[3, 4, 2]",0.4357531682015154,0.026704237777807,310.03368600484464,13.102946152202883
4,10000.0,5.0,1550.1684,5.0,0.001,1,0,0.0,75.3824,75.3824,49.8856,49.8856,54.1978,54.1978,1550.17,1550.17,100.879,100.879,1550.17,1550.17,54.1978,54.1978,1550.17,1550.17,100.879,100.879,1550.17,1550.17,3,"[3, 4, 2]",0.4357531682015154,0.026704237777807,310.03368600484464,13.102946152202883
4,10000.0,5.0,620.0674,2.0,0.001,1,1,0.0,26.8012,26.8012,54.5849,75.3824,54.1978,54.1978,620.067,620.067,100.879,100.879,620.067,620.067,40.4995,40.4995,620.067,620.067,100.879,100.879,620.067,620.067,3,"[3, 4, 2]",0.4357531682015154,0.026704237777807,310.03368600484464,13.102946152202883
